Año,Mes,Dia_semana,Hora_aprox,CUT_REG,Zona,Tipo_Calza,Estado_Cal,Condición,Estado_Atm,Causa__CON,Gravedad
2023,6,Lunes,18,9,RURAL,ASFALTO,BUENO,HUMEDO,NUBLADO,IMPRUDENCIA DEL CONDUCTOR,0
2020,9,Lunes,16,13,URBANA,ASFALTO,BUENO,SECO,DESPEJADO,IMPRUDENCIA DEL PEATON,0
2023,5,Martes,19,5,URBANA,ASFALTO,REGULAR,SECO,DESPEJADO,IMPRUDENCIA DEL CONDUCTOR,0
2020,3,Sábado,13,9,URBANA,CONCRETO,BUENO,SECO,DESPEJADO,ALCOHOL EN CONDUCTOR,0
2022,8,Martes,20,2,URBANA,ASFALTO,BUENO,SECO,DESPEJADO,IMPRUDENCIA DEL CONDUCTOR,0
2020,5,Jueves,9,13,URBANA,ASFALTO,BUENO,SECO,DESPEJADO,OTRAS CAUSAS,0
2022,5,Miércoles,5,13,RURAL,CONCRETO,BUENO,SECO,DESPEJADO,OTRAS CAUSAS,1
2020,11,Martes,17,9,URBANA,CONCRETO,BUENO,SECO,NUBLADO,IMPRUDENCIA DEL PEATON,0
2024,1,Lunes,8,16,RURAL,ASFALTO,BUENO,SECO,DESPEJADO,ALCOHOL EN CONDUCTOR,1
2022,4,Lunes,10,13,URBANA,CONCRETO,BUENO,SECO,DESPEJADO,IMPRUDENCIA DEL CONDUCTOR,0
2023,10,Sábado,21,10,URBANA,CONCRETO,REGULAR,SECO,DESPEJADO,IMPRUDENCIA DEL CONDUCTOR,0
2022,1,Lunes,21,9,URBANA,CONCRETO,BUENO,SECO,DESPEJADO,IMPRUDENCIA DEL PEATON,0
2022,12,Lunes,17,13,URBANA,CONCRETO,BUENO,SECO,DESPEJADO,IMPRUDENCIA DEL CONDUCTOR,0
2023,1,Jueves,11,1,URBANA,ASFALTO,BUENO,SECO,DESPEJADO,VELOCIDAD IMPRUDENTE,1
2020,2,Sábado,11,9,URBANA,CONCRETO,BUENO,SECO,NUBLADO,IMPRUDENCIA DEL CONDUCTOR,0
2023,11,Martes,20,3,URBANA,ASFALTO,BUENO,SECO,DESPEJADO,DESOBEDIENCIA A SEÑALIZACION,0
